invoice_id,shipment_id,carrier_name,invoice_date,base_rate,fuel_surcharge,accessorial_charges,total_invoiced,contracted_rate,variance_amount,dispute_flag
INV-8001,SHP-5001,Atlas Global Freight,2025-07-15,241.25,17.5,10.24,268.99,244.51,24.48,False
INV-8002,SHP-5002,Southern Route Transport,2025-07-23,320.72,26.81,0,347.53,343.69,3.84,False
INV-8003,SHP-5003,Atlas Global Freight,2025-07-23,260.95,17.31,0,278.26,271.79,6.47,False
INV-8004,SHP-5004,Pacific Coast Carriers,2025-07-17,213.97,13.5,0,227.47,215.61,11.86,False
INV-8005,SHP-5005,Southern Route Transport,2025-07-18,272.38,18.11,0,290.49,281.14,9.35,False
INV-8006,SHP-5006,Southern Route Transport,2025-08-05,283.45,24.78,0,308.23,299.41,8.82,False
INV-8007,SHP-5007,Pacific Coast Carriers,2025-08-01,202.93,18.29,0,221.22,211.98,9.24,False
INV-8008,SHP-5008,Southern Route Transport,2025-08-04,154.69,14.07,0,168.76,166.43,2.33,False
INV-8009,SHP-5009,Continental Freight,2025-07-22,178.52,14.28,0,192.8,180.1,12.7,False
INV-8010,SHP-5010,Atlas Global Freight,2025-08-01,145.32,9.56,0,154.88,153.54,1.34,False
INV-8011,SHP-5011,FastTrack Logistics,2025-08-04,341.5,20.96,0,362.46,349.75,12.71,False
INV-8012,SHP-5012,Continental Freight,2025-08-01,238.9,19.11,0,258.01,246.28,11.73,False
INV-8013,SHP-5013,Southern Route Transport,2025-08-06,245.24,23.38,0,268.62,260.49,8.13,False
INV-8014,SHP-5014,Pacific Coast Carriers,2025-08-12,235.15,20.48,0,255.63,243.49,12.14,False
INV-8015,SHP-5015,Southern Route Transport,2025-08-08,278.97,21.38,0,300.35,291.77,8.58,False
INV-8016,SHP-5016,Midwest Express Shipping,2025-08-11,288.34,26.17,0,314.51,289.8,24.71,False
INV-8017,SHP-5017,Pacific Coast Carriers,2025-07-31,277.83,22.51,0,300.34,299.32,1.02,False
INV-8018,SHP-5018,Continental Freight,2025-08-08,330.48,26.44,0,356.92,353.86,3.06,False
INV-8019,SHP-5019,Southern Route Transport,2025-07-16,257.06,23.51,0,280.57,265.1,15.47,False
INV-8020,SHP-5020,Midwest Express Shipping,2025-07-29,249.1,21.11,24.84,295.05,258.03,37.02,False
INV-8021,SHP-5021,FastTrack Logistics,2025-07-21,188.42,12.49,0,200.91,188.48,12.43,False
INV-8022,SHP-5022,Pacific Coast Carriers,2025-08-08,246.08,15.55,0,261.63,251.46,10.17,False
INV-8023,SHP-5023,Midwest Express Shipping,2025-08-11,319.23,31.17,9.12,359.52,323.3,36.22,False
INV-8024,SHP-5024,Atlas Global Freight,2025-08-11,132.01,8.2,0,140.21,139.69,0.52,False
INV-8025,SHP-5025,FastTrack Logistics,2025-07-15,295.83,26.26,0,322.09,709.99,-387.9,False
INV-8026,SHP-5026,Atlas Global Freight,2025-08-07,274.74,21.6,25.65,321.99,292.05,29.94,False
INV-8027,SHP-5027,Atlas Global Freight,2025-07-29,264.29,21.69,0,285.98,283.96,2.02,False
INV-8028,SHP-5028,Southern Route Transport,2025-07-17,300.9,24.02,22.26,347.18,309.52,37.66,False
INV-8029,SHP-5029,FastTrack Logistics,2025-08-13,189.98,17.95,0,207.93,202.17,5.76,False
INV-8030,SHP-5030,Midwest Express Shipping,2025-07-28,191.22,16.36,0,207.58,199.61,7.97,False
INV-8031,SHP-5031,Atlas Global Freight,2025-08-04,261.23,23.51,0,284.74,266.01,18.73,False
INV-8032,SHP-5032,FastTrack Logistics,2025-08-12,194.8,12.36,21.18,228.34,198.71,29.63,False
INV-8033,SHP-5033,Midwest Express Shipping,2025-07-16,305.95,23.18,11.28,340.41,320.61,19.8,False
INV-8034,SHP-5034,Atlas Global Freight,2025-07-31,226.49,14.57,0,241.06,242.16,-1.1,False
INV-8035,SHP-5035,Continental Freight,2025-07-23,171.81,13.74,34.6,220.15,174.03,46.12,False
INV-8036,SHP-5036,Southern Route Transport,2025-08-11,130.61,8.17,18.7,157.48,135.4,22.08,False
INV-8037,SHP-5037,FastTrack Logistics,2025-07-25,285.37,22.11,0,307.48,302.09,5.39,False
INV-8038,SHP-5038,Atlas Global Freight,2025-07-30,295.44,28.2,0,323.64,316.69,6.95,False
INV-8039,SHP-5039,Pacific Coast Carriers,2025-07-28,186.84,12.45,0,199.29,190.76,8.53,False
INV-8040,SHP-5040,Atlas Global Freight,2025-08-06,263.26,18.24,0,281.5,272.01,9.49,False
INV-8041,SHP-5041,Atlas Global Freight,2025-07-30,264.24,18.12,0,282.36,282.76,-0.4,False
INV-8042,SHP-5042,Atlas Global Freight,2025-07-16,337.42,27.73,0,365.15,356.82,8.33,False
INV-8043,SHP-5043,FastTrack Logistics,2025-07-22,343.69,30.39,0,374.08,358.25,15.83,False
INV-8044,SHP-5044,Midwest Express Shipping,2025-07-18,296.15,28.92,22.86,347.93,310.03,37.9,False
INV-8045,SHP-5045,Atlas Global Freight,2025-07-23,264.35,25.64,0,289.99,269.26,20.73,False
INV-8046,SHP-5046,Midwest Express Shipping,2025-07-30,269.4,21.5,0,290.9,287.31,3.59,False
INV-8047,SHP-5047,Continental Freight,2025-08-05,245.07,19.61,0,264.68,247.45,17.23,False
INV-8048,SHP-5048,Atlas Global Freight,2025-08-11,123.86,7.82,0,131.68,131.6,0.08,False
INV-8049,SHP-5049,FastTrack Logistics,2025-07-24,320.17,22.7,0.84,343.71,344.89,-1.18,False
INV-8050,SHP-5050,Atlas Global Freight,2025-08-04,341.51,31.39,0,372.9,346.82,26.08,False
INV-8051,SHP-5051,Continental Freight,2025-08-04,298.55,23.88,8.24,330.67,311.83,18.84,False
INV-8052,SHP-5052,Atlas Global Freight,2025-07-22,313.04,25.81,0,338.85,315.6,23.25,False
INV-8053,SHP-5053,Midwest Express Shipping,2025-08-01,178.13,15.49,0,193.62,178.76,14.86,False
INV-8054,SHP-5054,Atlas Global Freight,2025-08-11,270.72,26.46,0,297.18,282.27,14.91,False
INV-8055,SHP-5055,FastTrack Logistics,2025-07-29,160.73,14.25,0,174.98,165.19,9.79,False
INV-8056,SHP-5056,Southern Route Transport,2025-07-16,318.9,31.05,0,349.95,326.81,23.14,False
INV-8057,SHP-5057,Midwest Express Shipping,2025-07-31,237.53,19.35,0,256.88,256.15,0.73,False
INV-8058,SHP-5058,FastTrack Logistics,2025-08-13,131.4,8.37,16.29,156.06,135.55,20.51,False
INV-8059,SHP-5059,FastTrack Logistics,2025-07-28,262.19,16.54,0,278.73,268.68,10.05,False
INV-8060,SHP-5060,Pacific Coast Carriers,2025-07-28,146.41,13.53,42.18,202.12,151.59,50.53,False
INV-8061,SHP-5061,Pacific Coast Carriers,2025-07-23,128.09,10.52,0,138.61,136.62,1.99,False
INV-8062,SHP-5062,Continental Freight,2025-07-28,178.4,14.27,0,192.67,187.67,5.0,False
INV-8063,SHP-5063,Southern Route Transport,2025-07-16,156.58,13.46,0,170.04,160.55,9.49,False
INV-8064,SHP-5064,FastTrack Logistics,2025-07-18,185.25,14.27,40.54,240.06,190.91,49.15,False
INV-8065,SHP-5065,Pacific Coast Carriers,2025-07-25,213.95,21.23,7.72,242.9,226.77,16.13,False
INV-8066,SHP-5066,Pacific Coast Carriers,2025-08-11,224.05,21.76,0,245.81,224.2,21.61,False
INV-8067,SHP-5067,Atlas Global Freight,2025-07-18,160.92,13.08,41.15,215.15,164.67,50.48,False
INV-8068,SHP-5068,Southern Route Transport,2025-08-08,338.36,23.32,0,361.68,364.47,-2.79,False
INV-8069,SHP-5069,Atlas Global Freight,2025-08-04,261.11,18.21,0,279.32,280.66,-1.34,False
INV-8070,SHP-5070,Continental Freight,2025-07-25,192.45,15.4,0,207.85,199.13,8.72,False
INV-8071,SHP-5071,FastTrack Logistics,2025-07-23,418.54,35.85,18.05,472.44,1004.5,-532.06,False
INV-8072,SHP-5072,Midwest Express Shipping,2025-07-23,139.16,10.15,0,149.31,140.59,8.72,False
INV-8073,SHP-5073,Continental Freight,2025-07-15,236.18,18.89,0,255.07,248.35,6.72,False
INV-8074,SHP-5074,Southern Route Transport,2025-07-30,146.54,12.44,0,158.98,147.11,11.87,False
INV-8075,SHP-5075,Midwest Express Shipping,2025-07-31,136.67,9.62,0,146.29,146.11,0.18,False
INV-8076,SHP-5076,FastTrack Logistics,2025-08-01,328.17,20.89,35.25,384.31,336.62,47.69,False
INV-8077,SHP-5077,Continental Freight,2025-08-13,162.92,13.03,39.72,215.67,168.37,47.3,False
INV-8078,SHP-5078,FastTrack Logistics,2025-07-21,300.9,29.72,0,330.62,722.16,-391.54,False
INV-8079,SHP-5079,Continental Freight,2025-08-07,247.1,19.77,0,266.87,249.73,17.14,False
INV-8080,SHP-5080,Continental Freight,2025-08-08,266.14,21.29,0,287.43,282.5,4.93,False
INV-8081,SHP-5081,Midwest Express Shipping,2025-07-31,270.77,16.36,0,287.13,287.97,-0.84,False
INV-8082,SHP-5082,Atlas Global Freight,2025-08-05,201.81,17.69,8.85,228.35,213.97,14.38,False
INV-8083,SHP-5083,Midwest Express Shipping,2025-07-18,322.1,30.96,0,353.06,334.43,18.63,False
INV-8084,SHP-5084,Pacific Coast Carriers,2025-07-25,191.43,13.4,0,204.83,202.63,2.2,False
INV-8085,SHP-5085,Atlas Global Freight,2025-07-31,186.05,12.48,29.07,227.6,200.93,26.67,False
INV-8086,SHP-5086,Continental Freight,2025-07-18,337.43,26.99,0,364.42,356.15,8.27,False
INV-8087,SHP-5087,Continental Freight,2025-07-29,331.7,26.54,0,358.24,334.32,23.92,False
INV-8088,SHP-5088,Atlas Global Freight,2025-07-23,148.68,14.16,0,162.84,155.02,7.82,False
INV-8089,SHP-5089,Midwest Express Shipping,2025-07-18,216.16,16.01,12.79,244.96,225.33,19.63,False
INV-8090,SHP-5090,Atlas Global Freight,2025-07-28,254.44,19.31,0,273.75,257.75,16.0,False
INV-8091,SHP-5091,Southern Route Transport,2025-08-07,248.59,20.42,0,269.01,262.01,7.0,False
INV-8092,SHP-5092,Pacific Coast Carriers,2025-07-25,286.55,19.96,0,306.51,293.1,13.41,False
INV-8093,SHP-5093,Midwest Express Shipping,2025-07-28,148.2,14.13,0,162.33,157.46,4.87,False
INV-8094,SHP-5094,FastTrack Logistics,2025-07-25,398.86,33.17,0,432.03,957.26,-525.23,False
INV-8095,SHP-5095,Atlas Global Freight,2025-08-12,308.02,30.23,0,338.25,310.46,27.79,False
INV-8096,SHP-5096,Midwest Express Shipping,2025-08-04,246.32,17.13,0,263.45,258.24,5.21,False
INV-8097,SHP-5097,Southern Route Transport,2025-07-21,169.83,11.9,0,181.73,179.57,2.16,False
INV-8098,SHP-5098,FastTrack Logistics,2025-08-11,294.31,24.97,35.88,355.16,706.34,-351.18,False
INV-8099,SHP-5099,Southern Route Transport,2025-07-21,265.12,15.98,11.68,292.78,265.34,27.44,False
INV-8100,SHP-5100,Midwest Express Shipping,2025-08-11,193.52,18.05,1.07,212.64,194.68,17.96,False
INV-8101,SHP-5101,Atlas Global Freight,2025-07-17,252.27,23.63,0,275.9,253.14,22.76,False
INV-8102,SHP-5102,FastTrack Logistics,2025-07-30,405.31,33.42,0,438.73,972.74,-534.01,False
INV-8103,SHP-5103,FastTrack Logistics,2025-07-15,133.27,12.19,0,145.46,142.99,2.47,False
INV-8104,SHP-5104,FastTrack Logistics,2025-07-17,189.89,18.86,0,208.75,190.32,18.43,False
INV-8105,SHP-5105,Continental Freight,2025-08-05,256.26,20.5,0,276.76,270.77,5.99,False
INV-8106,SHP-5106,Midwest Express Shipping,2025-07-22,224.96,16.44,0,241.4,236.49,4.91,False
INV-8107,SHP-5107,Continental Freight,2025-07-18,229.56,18.36,0,247.92,230.86,17.06,False
INV-8108,SHP-5108,FastTrack Logistics,2025-07-28,334.37,22.56,0,356.93,348.79,8.14,False
INV-8109,SHP-5109,Southern Route Transport,2025-07-31,156.56,10.79,0,167.35,167.7,-0.35,False
INV-8110,SHP-5110,Pacific Coast Carriers,2025-07-23,346.32,24.48,40.9,411.7,368.15,43.55,False
INV-8111,SHP-5111,Continental Freight,2025-08-01,228.03,18.24,29.22,275.49,235.36,40.13,False
INV-8112,SHP-5112,Midwest Express Shipping,2025-08-01,330.98,23.69,33.08,387.75,348.54,39.21,False
INV-8113,SHP-5113,FastTrack Logistics,2025-08-12,130.03,9.87,17.71,157.61,138.79,18.82,False
INV-8114,SHP-5114,Southern Route Transport,2025-07-23,143.32,8.97,0,152.29,154.71,-2.42,False
INV-8115,SHP-5115,Southern Route Transport,2025-08-01,144.26,12.7,0,156.96,148.95,8.01,False
INV-8116,SHP-5116,Pacific Coast Carriers,2025-07-22,254.42,23.11,0,277.53,268.26,9.27,False
INV-8117,SHP-5117,Pacific Coast Carriers,2025-08-07,173.13,13.0,23.07,209.2,180.33,28.87,False
INV-8118,SHP-5118,Pacific Coast Carriers,2025-07-15,254.49,21.33,2.52,278.34,264.15,14.19,False
INV-8119,SHP-5119,Southern Route Transport,2025-08-11,249.46,21.45,22.89,293.8,251.94,41.86,False
INV-8120,SHP-5120,Continental Freight,2025-07-21,153.18,12.25,0,165.43,153.85,11.58,False
INV-8121,SHP-5121,Pacific Coast Carriers,2025-08-08,220.28,14.36,38.61,273.25,227.8,45.45,False
INV-8122,SHP-5122,Midwest Express Shipping,2025-07-17,286.29,22.52,16.39,325.2,304.07,21.13,False
INV-8123,SHP-5123,Continental Freight,2025-07-31,169.77,13.58,17.85,201.2,181.27,19.93,False
INV-8124,SHP-5124,Continental Freight,2025-08-05,262.84,21.03,0,283.87,269.18,14.69,False
INV-8125,SHP-5125,Continental Freight,2025-07-17,305.0,24.4,35.34,364.74,308.6,56.14,False
INV-8126,SHP-5126,Pacific Coast Carriers,2025-08-13,300.58,25.38,3.59,329.55,320.25,9.3,False
INV-8127,SHP-5127,Atlas Global Freight,2025-08-01,342.93,25.46,38.15,406.54,367.37,39.17,False
INV-8128,SHP-5128,Southern Route Transport,2025-08-12,331.45,32.07,0,363.52,349.26,14.26,False
INV-8129,SHP-5129,Pacific Coast Carriers,2025-07-21,123.55,12.23,0,135.78,131.91,3.87,False
INV-8130,SHP-5130,Continental Freight,2025-07-16,173.26,13.86,0,187.12,186.58,0.54,False
INV-8131,SHP-5131,Continental Freight,2025-07-15,154.47,12.36,0,166.83,159.74,7.09,False
INV-8132,SHP-5132,Continental Freight,2025-08-06,279.49,22.36,0,301.85,293.37,8.48,False
INV-8133,SHP-5133,Atlas Global Freight,2025-08-05,186.55,17.2,0,203.75,187.72,16.03,False
INV-8134,SHP-5134,Continental Freight,2025-07-28,331.21,26.5,11.07,368.78,339.1,29.68,False
INV-8135,SHP-5135,FastTrack Logistics,2025-08-04,330.96,31.9,0,362.86,333.89,28.97,False
INV-8136,SHP-5136,FastTrack Logistics,2025-07-30,201.85,18.96,30.32,251.13,214.47,36.66,False
INV-8137,SHP-5137,FastTrack Logistics,2025-07-18,170.24,16.14,0,186.38,171.18,15.2,False
INV-8138,SHP-5138,Midwest Express Shipping,2025-08-11,348.39,22.92,27.38,398.69,374.52,24.17,False
INV-8139,SHP-5139,Atlas Global Freight,2025-08-11,221.26,20.83,0,242.09,226.22,15.87,False
INV-8140,SHP-5140,Midwest Express Shipping,2025-08-06,267.29,23.59,0,290.88,276.26,14.62,False
INV-8141,SHP-5141,Atlas Global Freight,2025-08-01,120.8,11.02,34.45,166.27,126.8,39.47,False
INV-8142,SHP-5142,FastTrack Logistics,2025-07-17,223.71,15.48,18.95,258.14,227.93,30.21,False
