so_id,so_line_id,customer_id,product_id,warehouse_id,order_date,requested_delivery_date,promised_delivery_date,actual_ship_date,actual_delivery_date,qty_ordered,qty_shipped,qty_backordered,unit_price,revenue,status
SO-2001,1,CUST-0245,PB-4995,WH-EAST,2025-07-17,2025-07-21,2025-07-22,2025-07-22,2025-07-22,50,50,0,33.0,1650.0,delivered
SO-2002,1,CUST-0041,EC-2275,WH-CENTRAL,2025-08-08,2025-08-11,2025-08-12,2025-08-11,2025-08-12,50,50,0,41.0,2050.0,delivered
SO-2003,1,CUST-0230,IF-9090,WH-CENTRAL,2025-07-17,2025-07-28,2025-07-28,2025-07-28,2025-07-28,10,10,0,7.0,70.0,delivered
SO-2004,1,CUST-0640,HF-1125,WH-WEST,2025-08-07,2025-08-10,2025-08-12,2025-08-12,2025-08-12,50,50,0,37.0,1850.0,delivered
SO-2005,1,CUST-0067,IF-7675,WH-WEST,2025-07-29,2025-08-12,2025-08-14,2025-08-11,2025-08-14,5,5,0,14.0,70.0,delivered
SO-2006,1,CUST-0335,PB-5870,WH-CENTRAL,2025-07-15,2025-07-22,2025-07-22,2025-07-21,2025-07-22,25,25,0,71.0,1775.0,delivered
SO-2007,1,CUST-0089,SE-2870,WH-CENTRAL,2025-08-11,2025-08-25,2025-08-27,2025-08-26,2025-08-27,25,25,0,70.0,1750.0,delivered
SO-2008,1,CUST-0056,IF-8540,WH-EAST,2025-07-30,2025-08-06,2025-08-06,2025-08-06,2025-08-06,50,50,0,26.0,1300.0,delivered
SO-2009,1,CUST-0183,IF-8760,WH-SOUTH,2025-07-23,2025-07-29,2025-07-29,2025-07-26,2025-07-30,10,10,0,17.5,175.0,delivered
SO-2010,1,CUST-0350,EC-3100,WH-WEST,2025-07-25,2025-07-29,2025-07-30,2025-07-27,2025-07-31,50,50,0,149.0,7450.0,delivered
SO-2011,1,CUST-0365,HF-2320,WH-CENTRAL,2025-07-22,2025-07-29,2025-07-29,2025-07-28,2025-07-29,10,10,0,32.0,320.0,delivered
SO-2012,1,CUST-0183,PB-5870,WH-EAST,2025-08-01,2025-08-04,2025-08-05,2025-08-02,2025-08-05,50,50,0,71.0,3550.0,delivered
SO-2013,1,CUST-0183,IF-9460,WH-EAST,2025-08-08,2025-08-11,2025-08-12,2025-08-12,2025-08-11,50,50,0,12.0,600.0,delivered
