shipment_id,reference_type,reference_id,carrier_name,mode,origin_warehouse_id,destination,ship_date,estimated_arrival,actual_arrival,freight_cost,is_expedited,weight_kg,status
SHP-5001,PO,PO-3980,Atlas Global Freight,LTL,WH-WEST,"Boston, MA",2025-07-15,2025-07-18,2025-07-20,182.04,False,426.5,delayed
SHP-5002,SO,SO-6683,Pacific Coast Carriers,ground,WH-EAST,"Houston, TX",2025-07-15,2025-07-22,2025-07-22,203.46,False,444.2,delivered
SHP-5003,PO,PO-1622,Continental Freight,LTL,WH-WEST,"Boston, MA",2025-08-13,2025-08-22,2025-08-21,220.39,False,183.5,delivered
SHP-5004,PO,PO-1562,Midwest Express Shipping,LTL,WH-CENTRAL,"Cleveland, OH",2025-07-29,2025-08-05,2025-08-05,214.21,False,74.4,delivered
SHP-5005,SO,SO-3123,Pacific Coast Carriers,LTL,WH-CENTRAL,"Hartford, CT",2025-07-24,2025-08-02,2025-08-02,311.19,False,167.7,delivered
SHP-5006,SO,SO-2074,FastTrack Logistics,LTL,WH-WEST,"Charlotte, NC",2025-08-06,2025-08-10,2025-08-10,265.76,False,32.0,delivered
SHP-5007,SO,SO-5746,Midwest Express Shipping,ground,WH-WEST,"Reno, NV",2025-08-06,2025-08-10,2025-08-10,212.18,False,67.1,delivered
SHP-5008,PO,PO-3307,Southern Route Transport,FTL,WH-EAST,"Atlanta, GA",2025-08-12,2025-08-15,2025-08-15,160.35,False,485.5,delivered
SHP-5009,PO,PO-1504,Atlas Global Freight,ground,WH-SOUTH,"Reno, NV",2025-07-24,2025-07-28,2025-07-29,350.14,False,372.8,delivered
SHP-5010,PO,PO-2862,Continental Freight,FTL,WH-CENTRAL,"Atlanta, GA",2025-07-31,2025-08-04,2025-08-04,171.35,False,476.1,delivered
SHP-5011,SO,SO-5866,Midwest Express Shipping,ground,WH-SOUTH,"Hartford, CT",2025-07-25,2025-07-29,2025-07-29,303.94,False,127.7,delivered
SHP-5012,SO,SO-6887,Midwest Express Shipping,FTL,WH-EAST,"Cleveland, OH",2025-07-23,2025-07-28,2025-07-28,218.16,False,143.4,delivered
SHP-5013,SO,SO-2383,FastTrack Logistics,air,WH-WEST,"Indianapolis, IN",2025-07-16,2025-07-19,2025-07-20,536.87,True,432.8,delivered
SHP-5014,SO,SO-2350,FastTrack Logistics,ground,WH-CENTRAL,"Detroit, MI",2025-07-30,2025-08-03,2025-08-03,221.16,False,300.1,delivered
SHP-5015,SO,SO-5054,Atlas Global Freight,LTL,WH-SOUTH,"Boston, MA",2025-07-21,2025-07-27,2025-07-27,272.31,False,312.3,delivered
SHP-5016,PO,PO-1990,Southern Route Transport,ground,WH-EAST,"Cleveland, OH",2025-08-11,2025-08-14,2025-08-14,152.92,False,211.5,delivered
SHP-5017,PO,PO-2855,FastTrack Logistics,ground,WH-SOUTH,"Indianapolis, IN",2025-08-08,2025-08-16,2025-08-16,326.39,False,91.5,delivered
SHP-5018,SO,SO-2913,Midwest Express Shipping,ground,WH-SOUTH,"Houston, TX",2025-07-18,2025-07-23,2025-07-23,325.19,False,278.3,delivered
SHP-5019,SO,SO-2935,FastTrack Logistics,LTL,WH-SOUTH,"Indianapolis, IN",2025-08-12,2025-08-19,2025-08-19,216.31,False,79.9,delivered
SHP-5020,SO,SO-3485,Atlas Global Freight,LTL,WH-CENTRAL,"Houston, TX",2025-07-30,2025-08-02,2025-08-02,345.02,False,83.1,delivered
