forecast_id,product_id,warehouse_id,forecast_date,period_start,period_end,forecast_qty,forecast_method,confidence_level,created_by
FC-00001,EC-1847,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,393,statistical,0.92,System
FC-00002,EC-2291,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,390,statistical,0.77,System
FC-00003,EC-3004,WH-WEST,2025-07-02,2025-07-15,2025-08-13,370,manual_override,0.85,A. Chen
FC-00004,EC-3517,WH-WEST,2025-07-02,2025-07-15,2025-08-13,363,consensus,0.86,System
FC-00005,EC-1102,WH-WEST,2025-07-02,2025-07-15,2025-08-13,177,consensus,0.91,System
FC-00006,EC-1205,WH-WEST,2025-07-02,2025-07-15,2025-08-13,166,consensus,0.77,System
FC-00007,EC-1330,WH-WEST,2025-07-02,2025-07-15,2025-08-13,152,statistical,0.88,System
FC-00008,EC-1455,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,188,manual_override,0.89,A. Chen
FC-00009,EC-1580,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,165,statistical,0.79,System
FC-00010,EC-1610,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,183,statistical,0.92,System
FC-00011,EC-1720,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,69,statistical,0.79,System
FC-00012,EC-1835,WH-WEST,2025-07-02,2025-07-15,2025-08-13,88,statistical,0.73,System
FC-00013,EC-1940,WH-WEST,2025-07-02,2025-07-15,2025-08-13,67,consensus,0.77,System
FC-00014,EC-2050,WH-WEST,2025-07-02,2025-07-15,2025-08-13,58,statistical,0.71,System
FC-00015,EC-2160,WH-WEST,2025-07-02,2025-07-15,2025-08-13,63,consensus,0.83,System
FC-00016,EC-2275,WH-SOUTH,2025-07-02,2025-07-15,2025-08-13,76,statistical,0.85,System
FC-00017,EC-2380,WH-WEST,2025-07-02,2025-07-15,2025-08-13,82,statistical,0.92,System
FC-00018,EC-2490,WH-WEST,2025-07-02,2025-07-15,2025-08-13,76,consensus,0.74,System
FC-00019,EC-2595,WH-CENTRAL,2025-07-02,2025-07-15,2025-08-13,69,statistical,0.93,System
FC-00020,EC-2680,WH-EAST,2025-07-02,2025-07-15,2025-08-13,51,statistical,0.74,System
