po_id,po_line_id,supplier_id,product_id,warehouse_id,order_date,promised_delivery_date,actual_delivery_date,qty_ordered,qty_received,qty_rejected,unit_cost,total_cost,status
PO-1001,1,SUP-1001,EC-1847,WH-WEST,2025-07-22,2025-08-05,2025-08-03,25,25,0,84.5,2112.5,received
PO-1002,1,SUP-1001,PB-4125,WH-EAST,2025-07-22,2025-08-05,2025-08-03,25,25,0,34.2,855.0,received
PO-1003,1,SUP-1001,PB-4230,WH-CENTRAL,2025-07-17,2025-07-31,2025-07-30,200,196,4,72.6,14520.0,received
PO-1004,1,SUP-1001,EC-3004,WH-SOUTH,2025-07-21,2025-08-04,2025-08-03,200,196,4,125.0,25000.0,received
PO-1005,1,SUP-1001,PB-4125,WH-SOUTH,2025-07-22,2025-08-05,2025-08-05,500,490,10,34.2,17100.0,received
PO-1006,1,SUP-1001,PB-4230,WH-SOUTH,2025-07-21,2025-08-04,2025-08-02,25,25,0,72.6,1815.0,received
PO-1007,1,SUP-1001,PB-4125,WH-SOUTH,2025-07-28,2025-08-11,2025-08-11,150,147,3,34.2,5130.0,received
PO-1008,1,SUP-1001,PB-4230,WH-EAST,2025-08-05,2025-08-19,2025-08-20,250,245,5,72.6,18150.0,received
PO-1009,1,SUP-1001,EC-1847,WH-EAST,2025-08-07,2025-08-21,2025-08-19,100,98,2,84.5,8450.0,received
PO-1010,1,SUP-1001,EC-2291,WH-WEST,2025-07-21,2025-08-04,2025-08-04,200,196,4,67.2,13440.0,received
PO-1011,1,SUP-1001,EC-2291,WH-SOUTH,2025-07-23,2025-08-06,2025-08-05,150,147,3,67.2,10080.0,received
PO-1012,1,SUP-1001,PB-4230,WH-EAST,2025-07-29,2025-08-12,2025-08-12,500,490,10,72.6,36300.0,received
PO-1013,1,SUP-1001,EC-1847,WH-EAST,2025-08-04,2025-08-18,2025-08-16,200,196,4,84.5,16900.0,received
PO-1014,1,SUP-1001,EC-1847,WH-WEST,2025-07-28,2025-08-11,2025-08-11,150,147,3,84.5,12675.0,received
PO-1015,1,SUP-1001,EC-2291,WH-SOUTH,2025-08-12,2025-08-26,2025-08-25,25,25,0,67.2,1680.0,received
PO-1016,1,SUP-1001,EC-3517,WH-EAST,2025-07-23,2025-08-06,2025-08-06,500,490,10,43.8,21900.0,received
PO-1017,1,SUP-1001,EC-3004,WH-SOUTH,2025-08-06,2025-08-20,2025-08-20,250,245,5,125.0,31250.0,received
PO-1018,1,SUP-1001,PB-4125,WH-SOUTH,2025-07-21,2025-08-04,2025-08-03,100,98,2,34.2,3420.0,received
PO-1019,1,SUP-1001,EC-1847,WH-EAST,2025-08-07,2025-08-21,2025-08-19,100,98,2,84.5,8450.0,received
PO-1020,1,SUP-1001,EC-1847,WH-SOUTH,2025-07-31,2025-08-14,2025-08-14,500,490,10,84.5,42250.0,received
PO-1021,1,SUP-1001,EC-2291,WH-EAST,2025-07-31,2025-08-14,2025-08-13,25,25,0,67.2,1680.0,received
PO-1022,1,SUP-1001,EC-1847,WH-EAST,2025-08-05,2025-08-19,2025-08-18,500,490,10,84.5,42250.0,received
PO-1023,1,SUP-1001,EC-3517,WH-EAST,2025-08-12,2025-08-26,2025-08-25,200,196,4,43.8,8760.0,received
PO-1024,1,SUP-1001,PB-4010,WH-EAST,2025-07-17,2025-07-31,2025-08-01,150,147,3,18.5,2775.0,received
PO-1025,1,SUP-1001,PB-4010,WH-CENTRAL,2025-08-13,2025-08-27,2025-08-26,100,98,2,18.5,1850.0,received
PO-1026,1,SUP-1001,PB-4125,WH-CENTRAL,2025-07-22,2025-08-05,2025-08-05,100,98,2,34.2,3420.0,received
PO-1027,1,SUP-1001,EC-2291,WH-CENTRAL,2025-07-29,2025-08-12,2025-08-10,100,98,2,67.2,6720.0,received
PO-1028,1,SUP-1001,EC-1847,WH-SOUTH,2025-07-18,2025-08-01,2025-08-01,25,25,0,84.5,2112.5,received
PO-1029,1,SUP-1001,EC-2291,WH-CENTRAL,2025-08-13,2025-08-27,2025-08-25,100,98,2,67.2,6720.0,received
PO-1030,1,SUP-1001,EC-2291,WH-CENTRAL,2025-07-24,2025-08-07,2025-08-07,50,49,1,67.2,3360.0,received
PO-1031,1,SUP-1001,PB-4230,WH-CENTRAL,2025-08-04,2025-08-18,2025-08-16,200,196,4,72.6,14520.0,received
PO-1032,1,SUP-1001,PB-4125,WH-CENTRAL,2025-08-13,2025-08-27,2025-08-25,250,245,5,34.2,8550.0,received
PO-1033,1,SUP-1001,EC-2291,WH-CENTRAL,2025-07-18,2025-08-01,2025-08-02,25,25,0,67.2,1680.0,received
PO-1034,1,SUP-1001,PB-4010,WH-WEST,2025-07-23,2025-08-06,2025-08-06,100,98,2,18.5,1850.0,received
PO-1035,1,SUP-1001,EC-2291,WH-CENTRAL,2025-07-21,2025-08-04,2025-08-05,250,245,5,67.2,16800.0,received
PO-1036,1,SUP-1001,PB-4230,WH-CENTRAL,2025-07-31,2025-08-14,2025-08-14,150,147,3,72.6,10890.0,received
PO-1037,1,SUP-1001,PB-4230,WH-EAST,2025-07-17,2025-07-31,2025-07-31,250,245,5,72.6,18150.0,received
PO-1038,1,SUP-1001,PB-4230,WH-CENTRAL,2025-07-16,2025-07-30,2025-07-30,25,25,0,72.6,1815.0,received
PO-1039,1,SUP-1001,PB-4230,WH-WEST,2025-08-04,2025-08-18,2025-08-17,100,98,2,72.6,7260.0,received
PO-1040,1,SUP-1001,PB-4125,WH-SOUTH,2025-08-01,2025-08-15,2025-08-15,250,245,5,34.2,8550.0,received
PO-1041,1,SUP-1002,EC-1102,WH-EAST,2025-07-17,2025-07-27,2025-07-26,250,247,3,12.4,3100.0,received
PO-1042,1,SUP-1002,EC-1330,WH-WEST,2025-07-28,2025-08-07,2025-08-05,50,50,0,8.9,445.0,received
PO-1043,1,SUP-1002,EC-1102,WH-CENTRAL,2025-07-21,2025-07-31,2025-07-31,250,247,3,12.4,3100.0,received
PO-1044,1,SUP-1002,EC-1330,WH-SOUTH,2025-08-07,2025-08-17,2025-08-17,50,49,1,8.9,445.0,received
PO-1045,1,SUP-1002,EC-1205,WH-SOUTH,2025-07-15,2025-07-25,2025-07-25,50,49,1,28.6,1430.0,received
PO-1046,1,SUP-1002,EC-1455,WH-WEST,2025-07-23,2025-08-02,2025-08-01,50,50,0,15.7,785.0,received
PO-1047,1,SUP-1002,EC-1102,WH-SOUTH,2025-07-22,2025-08-01,2025-08-02,50,50,0,12.4,620.0,received
PO-1048,1,SUP-1002,EC-1205,WH-WEST,2025-07-15,2025-07-25,2025-07-25,250,248,2,28.6,7150.0,received
PO-1049,1,SUP-1002,EC-1330,WH-EAST,2025-08-08,2025-08-18,2025-08-18,100,99,1,8.9,890.0,received
PO-1050,1,SUP-1002,EC-1455,WH-CENTRAL,2025-07-15,2025-07-25,2025-07-25,25,25,0,15.7,392.5,received
PO-1051,1,SUP-1002,EC-1330,WH-EAST,2025-07-18,2025-07-28,2025-07-28,200,198,2,8.9,1780.0,received
PO-1052,1,SUP-1002,EC-1330,WH-SOUTH,2025-07-31,2025-08-10,2025-08-10,25,25,0,8.9,222.5,received
PO-1053,1,SUP-1002,EC-1205,WH-CENTRAL,2025-07-16,2025-07-26,2025-07-26,250,249,1,28.6,7150.0,received
PO-1054,1,SUP-1002,EC-1580,WH-WEST,2025-07-28,2025-08-07,2025-08-07,25,25,0,22.3,557.5,received
PO-1055,1,SUP-1002,EC-1610,WH-EAST,2025-08-07,2025-08-17,2025-08-17,100,99,1,11.5,1150.0,received
PO-1056,1,SUP-1002,EC-1330,WH-SOUTH,2025-08-06,2025-08-16,2025-08-15,100,99,1,8.9,890.0,received
PO-1057,1,SUP-1002,EC-1610,WH-SOUTH,2025-08-05,2025-08-15,2025-08-14,250,247,3,11.5,2875.0,received
